press_name,press_href,title,content
조선일보,https://www.chosun.com,h1.article-header__headline>span,p.article-body__content
연합뉴스,https://www.yna.co.kr,h1.tit01,div.story-news>p
SBS,https://news.sbs.co.kr,h1.article_main_tit,div.text_area
SBS Biz,https://biz.sbs.co.kr,h3.ah_big_title,div.ab_text
YTN,https://www.ytn.co.kr,h2.news_title>span,div.paragraph>span
뉴시스,https://www.newsis.com,h1.tit,div.viewer>article
중앙일보,https://www.joongang.co.kr,h1.headline,div.article_body>p
아시아경제,https://view.asiae.co.kr,div.area_title>h1,div.fb-quotable>p
이데일리,https://www.edaily.co.kr,div.news_titles>h1,div.news_body
채널A,https://ichannela.com,strong.title,div.news_page_txt
동아일보,https://www.donga.com,section.head_group>h1,section.news_view
한국경제,https://www.hankyung.com,h1.headline,div.article-body
서울신문,https://www.seoul.co.kr,h1.h38,div.viewContent
연합뉴스TV,https://www.yonhapnewstv.co.kr,div.article-inheader>h2,div.article-body-text
매일경제,https://www.mk.co.kr,h2.news_ttl,div.news_cnt_detail_wrap>p
뉴스1,https://www.news1.kr,h1.article-h2-header-title,div.n1-article-content>p
노컷뉴스,https://www.nocutnews.co.kr,div.h_info>h2,#pnlContent
한겨레,https://www.hani.co.kr,h3.ArticleDetailView_title__9kRU_,p.text
MBN,https://mbn.mk.co.kr,h1.article_tit,div.txt>p
KBS,https://news.kbs.co.kr,h4.headline-title,div.detail-body
TV조선,https://news.tvchosun.com,div.view-title>h2,div.contents>div.text-box
헤럴드경제,https://biz.heraldcorp.com,div.news_title>h1,article.article-view>p
JTBC,https://news.jtbc.co.kr,h1.my-o2xdzg,span.my-1bw6mip
조선비즈,https://biz.chosun.com,h1.article-header__headline>span,p.article-body__content
한국경제TV,https://www.wowtv.co.kr,h1.title-news,div.box-news-body
서울경제,https://www.sedaily.com,h1.art_tit,div.article_view
부산일보,https://www.busan.com,div.article_head>p.title,div.article_content>p
이코노미스트,https://economist.co.kr,h3.line_clamp_2,div.view_txt
경기일보,https://www.kyeonggi.com,h1.article_tit,div.article_cont_wrap>p
한국일보,https://www.hankookilbo.com,h1.title,p.editor-p
경향신문,https://www.khan.co.kr,section.article-wrap>article>header>h1,p.content_text
디지털타임스,https://www.dt.co.kr,h1.title,p.align-l
MBC,https://imnews.imbc.com,h2.art_title,div.report
데일리안,https://www.dailian.co.kr,div.news-contents>h1.title,description>p
국제신문,https://www.kookje.co.kr,div.news_title>h1,div.news_article>div
문화일보,https://www.munhwa.com,h1.title,p.text-l
조세일보,https://www.joseilbo.com,div.view_title_box>h1,div.viewpage_txt>div
파이낸셜뉴스,https://www.fnnews.com,h1.tit_thumb,div.cont_view
머니투데이,https://news.mt.co.kr,h1.subject,#textBody
강원일보,https://www.kwnews.co.kr,h2.title,#articlebody>p
내일신문,https://www.naeil.com,h1.headline,div.article-view>p
미디어오늘,https://www.mediatoday.co.kr,h3.heading,#article-view-content-div
