menu,price
[25.08] 행사 진달래,"6,700원"
[25.08] 행사 돈까스도련님 고기고기,"5,500원"
[25.08] 행사 송정식 떡갈비,"5,500원"
[25.08] 행사 제육 많이 덮밥,"5,000원"
[25.08] 행사 빅 제육 많이 덮밥,"5,900원"
[25.08] 행사 스팸 김치볶음밥,"3,900원"
[25.08] 행사 동백,"5,200원"
[25.08] 행사 단품 부대찌개,"4,200원"
[25.08] 행사 단품 묵은지 김치찌개,"3,700원"
[25.08] 행사 토핑 치킨 2조각,"1,500원"
[25.08] 행사 토핑 토네이도 소세지,"1,200원"
[25.08] 행사 토핑 청양 토네이도 소세지,"1,200원"
[25.08] 행사 토핑 스팸,800원
스페셜 고등어 부대찌개 도시락,"15,000원"
스페셜 한우함박스테이크 도시락,"14,000원"
스페셜 해바라기 도시락,"13,000원"
스페셜 숯불직화 진달래 도시락,"12,000원"
스페셜 송정식 떡갈비 도시락,"11,000원"
매화,"11,000원"
해바라기,"10,000원"
진달래,"8,500원"
새치 고기고기,"7,500원"
돈까스도련님 고기고기,"7,000원"
돈치 고기고기,"6,500원"
동백,"6,500원"
소불고기,"6,000원"
돈치스팸,"5,300원"
칠리 찹쌀탕수육도련님,"4,800원"
돈까스도련님,"5,000원"
제육돈까스 도련님,"5,000원"
제육볶음,"5,000원"
한우 함박스테이크& 청양 토네이도 소세지,"8,900원"
한우 함박스테이크&토네이도 소세지,"8,900원"
송정식 떡갈비,"7,000원"
송정식 떡갈비 Ⅱ,"7,000원"
치킨제육,"5,300원"
메가치킨제육,"8,300원"
빅치킨마요 부대찌개 정식,"8,600원"
치킨마요 부대찌개 정식,"8,000원"
메가치킨마요,"6,500원"
왕치킨마요,"5,500원"
빅치킨마요,"4,500원"
치킨마요,"3,900원"
메가스팸마요,"6,200원"
스팸마요,"4,300원"
참치마요,"3,700원"
돈까스 카레,"4,900원"
소불고기 철판볶음밥,"5,200원"
스팸 철판볶음밥,"5,000원"
스팸 김치볶음밥,"5,000원"
김치볶음밥,"4,200원"
부대찌개,"6,500원"
묵은지 김치찌개,"6,000원"
제많덮(제육 많이 덮밥),"6,200원"
빅 제많덮(빅 제육 많이 덮밥),"7,200원"
숯불직화구이 덮밥,"6,300원"
왕카레돈까스덮밥,"6,500원"
오리지널 치즈 닭갈비덮밥,"6,300원"
핫 치즈 닭갈비덮밥,"6,300원"
돈까스 덮밥,"4,500원"
마파두부 덮밥,"5,000원"
열무 감초고추장 비빔밥,"4,900원"
열무 두부강된장 비빔밥,"5,500원"
소불고기 감초고추장 비빔밥,"5,900원"
시골제육 두부강된장 비빔밥,"6,500원"
참치야채 감초고추장 비빔밥,"3,900원"
단품 부대찌개,"5,200원"
단품 묵은지 김치찌개,"4,700원"
단품 카레,"2,900원"
반찬 순살 고등어 간장구이,"3,900원"
반찬 돈까스도련님,"4,200원"
반찬 치킨,"4,000원"
반찬 제육볶음,"3,700원"
반찬 돈까스,"2,900원"
반찬 토네이도 소세지,"3,200원"
반찬 고기고기,"3,700원"
한솥 두부강된장소스,"1,800원"
한솥 감초볶음고추장소스,600원
김치,500원
무말랭이 무침,600원
12곡밥,"2,100원"
발아현미밥,"1,900원"
한솥밥,"1,200원"
해시 포테이토 스틱,"2,000원"
치즈버터 해시 포테이토 스틱,"2,200원"
허니버터 해시 포테이토 스틱,"2,200원"
뉴 감자고로케,"2,700원"
미니 찹쌀핫도그,"2,800원"
미니 찹쌀탕수육,"2,300원"
케이준후라이,"1,900원"
크림 닭강정(소),"3,900원"
크림 닭강정(중),"9,900원"
통현미 닭강정(소),"3,500원"
통현미 닭강정(중),"9,000원"
후라이드 순살(소)_양념치킨소스,"4,000원"
후라이드 순살(소)_케이준소스,"4,000원"
후라이드 순살(중),"7,500원"
"치킹 반반순살(양념, 후라이드)","16,900원"
치킹 반반순살(후라이드),"16,900원"
제주녹차 미니꿀호떡,"2,500원"
